label	key	technique	category	institute	source	experiment	developmental-stage	tissue	condition	summary	citation	project	accession	date	analyst	filename	SCIPRJ	access_level	biosample	NGS_file	MLONG
DNA	Reference sequence	Sequence	Genome Assembly	Vienna	NVEC200	Genome Assembly				NVEC200						NVEC200.fasta					
kc_nvec200_LOE_genes	kc_nvec200_v1 LOE Isoseq Genes	Sequence	Aligned Transcriptomes	SIMR	Isoseq	Isoseq Transcript Assembly				PacBio Isoseq Transcript assembly by GibsonLab-SHC				7/1/2020	SHC	GCA_033964005.1/NV2/analysis/LOE/kc_nvec200_v1.LOE.genome.gff					
kc_nvec200_LOE_transcripts	kc_nvec200_v1 LOE Isoseq Transcripts	Sequence	Aligned Transcriptomes	SIMR	Isoseq	Isoseq Transcript Assembly				PacBio Isoseq Transcript assembly by GibsonLab-SHC				7/1/2020	SHC	GCA_033964005.1/NV2/analysis/LOE/kc_nvec200_v1.LOE.genome.gff					
ACRDI_protein2genome	Aligned ACRDI Proteins	Sequence	Aligned Proteins	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.evidence.renamed.gff					
ACRMI_protein2genome	Aligned ACRMI Proteins	Sequence	Aligned Proteins	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.evidence.renamed.gff					
ANIVI_protein2genome	Aligned ANIVI Proteins	Sequence	Aligned Proteins	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.evidence.renamed.gff					
EDWCA_protein2genome	Aligned EDWCA Proteins	Sequence	Aligned Proteins	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.evidence.renamed.gff					
EDWLI_protein2genome	Aligned EDWLI Proteins	Sequence	Aligned Proteins	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.evidence.renamed.gff					
EXAPA_protein2genome	Aligned EXAPA Proteins	Sequence	Aligned Proteins	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.evidence.renamed.gff					
HYDMA_protein2genome	Aligned HYDMA Proteins	Sequence	Aligned Proteins	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.evidence.renamed.gff					
STYPI_protein2genome	Aligned STYPI Proteins	Sequence	Aligned Proteins	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.evidence.renamed.gff					
UNIPROT_protein2genome	Aligned UNIPROT Proteins	Sequence	Aligned Proteins	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.evidence.renamed.gff					
illumina_est2genome	Aligned illumina Nucleotides	Sequence	Aligned Nucleotides	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.evidence.renamed.gff					
isoseq_est2genome	Aligned isoseq Nucleotides	Sequence	Aligned Nucleotides	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.evidence.renamed.gff					
jgi_model_gff	Aligned jgi models	Sequence	Aligned Nucleotides	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.evidence.renamed.gff					
repeatmasker_maker	Aligned repeatmasker	Sequence	Aligned Nucleotides	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.evidence.renamed.gff					
repeatrunner_maker	Aligned repeatrunner	Sequence	Aligned Proteins	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.evidence.renamed.gff					
augustus_masked_abinitio	Augustus Ab-initio Predictions	Sequence	Ab-intio Predictions	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.evidence.renamed.gff					
wien_nvec200_v1_genes	wien_nvec200_v1 Vienna Genes	Sequence	Aligned Transcriptomes	Vienna	GMAP	Wein Transcript Assembly				Transcript Assembly by Bob Zimmerman				7/1/2020	BZIMM	GCA_033964005.1/NV2/aligned/wien_nvec200_v1/Wien_Nvec200.gff3					
wien_nvec200_v1_transcripts	wien_nvec200_v1: Vienna Transcripts	Sequence	Aligned Transcriptomes	Vienna	GMAP	Wein Transcript Assembly				Transcript Assembly by Bob Zimmerman				7/1/2020	BZIMM	GCA_033964005.1/NV2/aligned/wien_nvec200_v1/Wien_Nvec200.gff3					
maker_iprscan_domains	Aligned Domains	Sequence	Aligned Domains	UofU	MAKER	MAKER Gene Models				MAKER Models generated by Carson Holt 2020				8/1/2020	CHOLT	NVEC200.domains.renamed.gff					
jaNemVect_Nvec200.liftoff_genes	jaNemVect1.1 genes	Sequence	Aligned Transcriptomes	NCBI	RefSeq	RefSeq Gene Models				RefSeq Gene models for GCA_932526225.1 assembly			GCA_932526225.1	11/25/2025	SMR	GCA_033964005.1/NV2/analysis/jaNemVect_liftoff/jaNemVect_Nvec200.liftoff.gff					
jaNemVect_Nvec200.liftoff_transcripts	jaNemVect1.1 transcripts	Sequence	Aligned Transcriptomes	NCBI	RefSeq	RefSeq Gene Models				RefSeq Gene models for GCA_932526225.1 assembly			GCA_932526225.1	11/25/2025	SMR	GCA_033964005.1/NV2/analysis/jaNemVect_liftoff/jaNemVect_Nvec200.liftoff.gff					
																					
