Amphimedon_queenslandica	GCF_000090795.2	RS_2026_04
Anoura_caudifer	GCA_004027475.1	SIMR_2025-01-24
Antrozous_pallidus	GCA_007922775.1	SIMR_2025-01-24
Artibeus_jamaicensis	GCF_021234435.1	RS_2023_03
Bipalium_kewense	bkew.kc1.ref	bkew.kc1
Bipalium_vagum	bvag.kc1.ref	bvag.kc1
Bradypodion_pumilum	GCA_035047305.1	SIMR_2025-04-21
Bradypodion_ventrale	GCA_035047345.1	SIMR_2025-04-21
Bradyrhizobium_diazoefficiens	GCF_001642675.1	RS_2025_04_07
Camerata_robusta	crob.kc3.ref	crob.kc3
Carollia_perspicillata	GCA_004027735.1	SIMR_2025-01-24
Chamaeleo_calyptratus	CCA3	MENDER_20260701
Congeria_kusceri	GCA_027627225.1	COKUS1KC
Craseonycteris_thonglongyai	GCA_004027555.1	SIMR_2025-01-24
Cura_pinguis	cpin.kc1.ref	cpin.kc1
Cynopterus_brachyotis	GCA_009793145.1	SIMR_2025-01-24
Desmodus_rotundus	GCF_022682495.1	RS_2023_02
Diversibipalium_multilineatum	dmul.kc1.ref	dmul.kc1
Drosophila_melanogaster	GCF_000001215.4	BDGP6.54
Eidolon_dupreanum	ASM46528v1	SIMR_2025-01-24
Eidolon_helvum	GCA_000465285.1	SIMR_2025-01-24
Eonycteris_spelaea	GCA_003508835.1	SIMR_2025-01-24
Eptesicus_fuscus	GCF_027574615.1	RS_2023_03
Furcifer_pardalis	GCA_030440675.1	SIMR_2025-04-21
Hipposideros_armiger	GCF_001890085.2	RS_100
Hipposideros_galeritus	GCA_004027415.1	SIMR_2025-01-24
Lasiurus_borealis	GCA_004026805.1	SIMR_2025-01-24
Lasiurus_cinereus	GCA_011751095.1	SIMR_2025-01-23
Leptonycteris_nivalis	Lnivalis_consensus_genome	SIMR_2025-01-24
Leptonycteris_yerbabuenae	Lyerbabuenae_genome	SIMR_2025-01-24
Macroglossus_sobrinus	GCA_004027375.1	SIMR_2025-01-24
Macrotus_californicus	GCA_007922815.1	SIMR_2025-01-24
Macrotus_waterhousii	Mwaterhousii_consensus_genome	SIMR_2025-01-24
Medicago_sativa	XinJiangDaYe_all	XinJiangDaYe_all_geneset
Medicago_truncatula	GCF_003473485.1	MedtrA17_geneset
Megaderma_lyra	GCA_004026885.1	SIMR_2025-01-24
Micronycteris_hirsuta	GCA_004026765.1	SIMR_2025-01-24
Miniopterus_natalensis	GCF_001595765.1	RS_100
Miniopterus_schreibersii	GCA_004026525.1	SIMR_2025-01-24
Molossus_molossus	GCF_014108415.1	RS_100
Montipora_capitata	HIv3	HIv3_geneset
Mormoops_blainvillei	GCA_004026545.1	SIMR_2025-01-24
Murina_feae	GCA_004026665.1	SIMR_2025-01-24
Musonycteris_harrisoni	Mharrisoni_consensus_genome	SIMR_2025-01-24
Myotis_brandtii	GCF_000412655.1	RS_101
Myotis_davidii	GCF_000327345.1	RS_101
Myotis_lucifugus	GCF_000147115.1	RS_102
Myotis_myotis	GCF_014108235.1	RS_100
Myotis_septentrionalis	myse_ont_racon_pilon_HiC	SIMR_2025-01-24
Nematostella_vectensis	GCA_033964005.1	NV2
Nematostella_vectensis	GCF_932526225.1	RS_101
Noctilio_leporinus	GCA_004026585.1	SIMR_2025-01-24
Notamacropus_eugenii	T2T_SIMR_ANNOT	T2T_SIMR_ANNOT_geneset
Notamacropus_eugenii	Tammar_Female_v7_Final_Haploid_plus_Y	T2T_helixer
Nothobranchius_furzeri	GCF_043380555.1	RS_2024_12
Nycticeius_humeralis	GCA_007922795.1	SIMR_2025-01-24
Obama_nungara	onun.kc3.ref	onun.kc3
Parastichopus_parvimensis	SCI-004591-MACKAB	SCI-004591-MACKAB_geneset
Petromyzon_marinus	GCF_010993605.1	PM2023_newmodels-2023Nov
Petromyzon_marinus	GCF_048934315.1	RS_2025_08
Phagocata_morgani	pmor.kc3.ref	pmor.kc3
Phagocata_velata	pvel.kc1.ref	pvel.kc1
Phagocata_velata	pvel.kc3.ref	pvel.kc3
Phagocata_velata	pvel.kc4.ref	pvel.kc4
