TRACK_ID	NAME	technique	CATEGORY	institute	source	experiment	developmental-stage	tissue	condition	summary	citation	project	accession	date	analyst	SCIPRJ	ACCESS	biosample	NGS_file	MLONG	FILENAME	TRACK_PATH	ASSEMBLY_1	ASSEMBLY_2	BED1_PATH	BED2_PATH	MAF
DNA	Reference sequence	Sequence	Genome Assembly																		NVEC200.fasta						
kc_nvec200_LOE_genes	kc_nvec200_v1 LOE Isoseq Genes	Sequence	Aligned Transcriptomes																		kc_nvec200_v1.LOE.genome.gff						
kc_nvec200_LOE_transcripts	kc_nvec200_v1 LOE Isoseq Transcripts	Sequence	Aligned Transcriptomes																		kc_nvec200_v1.LOE.genome.gff						
ACRDI_protein2genome	Aligned ACRDI Proteins	Sequence	Aligned Proteins																		NVEC200.evidence.renamed.gff						
ACRMI_protein2genome	Aligned ACRMI Proteins	Sequence	Aligned Proteins																		NVEC200.evidence.renamed.gff						
ANIVI_protein2genome	Aligned ANIVI Proteins	Sequence	Aligned Proteins																		NVEC200.evidence.renamed.gff						
EDWCA_protein2genome	Aligned EDWCA Proteins	Sequence	Aligned Proteins																		NVEC200.evidence.renamed.gff						
EDWLI_protein2genome	Aligned EDWLI Proteins	Sequence	Aligned Proteins																		NVEC200.evidence.renamed.gff						
EXAPA_protein2genome	Aligned EXAPA Proteins	Sequence	Aligned Proteins																		NVEC200.evidence.renamed.gff						
HYDMA_protein2genome	Aligned HYDMA Proteins	Sequence	Aligned Proteins																		NVEC200.evidence.renamed.gff						
STYPI_protein2genome	Aligned STYPI Proteins	Sequence	Aligned Proteins																		NVEC200.evidence.renamed.gff						
UNIPROT_protein2genome	Aligned UNIPROT Proteins	Sequence	Aligned Proteins																		NVEC200.evidence.renamed.gff						
illumina_est2genome	Aligned illumina Nucleotides	Sequence	Aligned Nucleotides																		NVEC200.evidence.renamed.gff						
isoseq_est2genome	Aligned isoseq Nucleotides	Sequence	Aligned Nucleotides																		NVEC200.evidence.renamed.gff						
jgi_model_gff	Aligned jgi models	Sequence	Aligned Nucleotides																		NVEC200.evidence.renamed.gff						
repeatmasker_maker	Aligned repeatmasker	Sequence	Aligned Nucleotides																		NVEC200.evidence.renamed.gff						
repeatrunner_maker	Aligned repeatrunner	Sequence	Aligned Proteins																		NVEC200.evidence.renamed.gff						
augustus_masked_abinitio	Augustus Ab-initio Predictions	Sequence	Ab-intio Predictions																		NVEC200.evidence.renamed.gff						
wien_nvec200_v1_genes	wien_nvec200_v1 Vienna Genes	Sequence	Aligned Transcriptomes																		Wien_Nvec200.gff3						
wien_nvec200_v1_transcripts	wien_nvec200_v1: Vienna Transcripts	Sequence	Aligned Transcriptomes																		Wien_Nvec200.gff3						
maker_iprscan_domains	Aligned Domains	Sequence	Aligned Domains																		NVEC200.domains.renamed.gff						
jaNemVect_Nvec200.liftoff_genes	jaNemVect1.1 genes	Sequence	Aligned Transcriptomes																		jaNemVect_Nvec200.liftoff.gff						
jaNemVect_Nvec200.liftoff_transcripts	jaNemVect1.1 transcripts	Sequence	Aligned Transcriptomes																		jaNemVect_Nvec200.liftoff.gff						
UCNE	UCNE	Sequence	Ultra conserved Noncoding Elemements																		nv_ucne.gff						
tcs_v2_transcripts	TCSv2 transcripts	Sequence	Gene Models																		tcs_v2.20211130.putative_function.gff						
tcs_v2_genes	TCSv2 genes	Sequence	Gene Models																		tcs_v2.20211130.putative_function.gff						
ucne_blat	UCNE BLAT	Sequence	Ultra conserved Noncoding Elemements																		nv_ucne.blat.gff						
NV2g_genes	NV2g_genes	Sequence	Gene Models																		NV2g.20240221.gff						
NV2t_transcripts	NV2t_transcripts	Sequence	Gene Models																		NV2g.20240221.gff						
