# timestamp	cached_GB	avail_GB	sdb_MB_read_since_last	Procerodes_sp	Nematostella_vecte	Bipalium_kewense	Antrozous_pallidus	Bradypodion_ventra	Myotis_myotis	Phagocata_velata	Rousettus_aegyptia
2026-07-29 13:57	12.2	12.7	0	31.8	34.4	33.0	29.2	28.0	22.6	20.8	23.7
2026-07-29 14:12	12.1	12.6	3	31.8	34.4	33.0	29.2	28.0	22.6	20.8	23.7
2026-07-29 14:27	12.0	12.4	4680	20.8	32.0	35.0	38.5	40.8	22.2	21.5	23.3
2026-07-29 14:42	12.1	12.6	1911	26.6	40.0	35.0	38.0	40.8	29.1	27.4	31.1
2026-07-29 14:57	12.2	12.6	346	26.6	40.0	35.0	38.9	40.8	30.8	27.4	30.5
2026-07-29 15:12	12.2	12.6	3	26.6	40.0	35.0	38.9	40.8	30.8	27.4	30.5
2026-07-29 15:27	12.2	12.6	0	26.6	40.0	35.0	38.9	40.8	30.8	27.4	30.5
2026-07-29 15:42	11.6	12.6	255	3.6	40.0	35.0	38.9	40.0	30.8	27.4	30.5
2026-07-29 15:57	0.3	12.8	2558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2026-07-29 16:12	0.3	12.8	2500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2026-07-29 16:27	5.7	12.5	2412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2026-07-29 16:42	5.7	12.8	145	0.0	0.0	0.0	0.0	0.0	17.3	0.0	0.0
2026-07-29 16:57	5.7	12.8	0	0.0	0.0	0.0	0.0	0.0	17.3	0.0	0.0
2026-07-29 17:12	5.7	12.8	0	0.0	0.0	0.0	0.0	0.0	17.3	0.0	0.0
2026-07-29 17:27	5.9	12.8	1	0.0	0.0	0.0	0.0	0.0	17.3	0.0	0.0
2026-07-29 17:42	6.2	12.8	488	0.0	28.2	9.1	0.0	0.0	20.7	0.0	0.0
2026-07-29 17:57	6.6	12.8	121	0.0	28.2	9.1	0.0	0.0	35.5	0.0	0.0
2026-07-29 18:12	6.6	12.7	20	0.0	28.2	9.1	0.0	0.0	35.6	0.0	0.0
2026-07-29 18:27	9.9	12.7	3371	0.0	28.2	9.1	20.6	0.0	36.1	0.0	10.9
2026-07-29 18:42	10.2	12.7	256	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 18:57	10.2	12.7	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 19:12	10.2	12.7	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 19:27	10.3	12.6	2	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 19:42	10.3	12.6	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 19:57	10.3	12.6	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 20:12	10.3	12.6	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 20:27	10.3	12.6	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 20:42	10.3	12.6	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 20:57	10.3	12.6	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 21:12	10.3	12.6	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 21:27	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 21:42	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 21:57	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 22:12	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 22:27	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 22:42	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 22:57	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 23:12	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 23:27	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 23:42	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-29 23:57	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-30 00:12	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-30 00:27	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-30 00:42	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-30 00:57	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-30 01:12	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-30 01:27	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-30 01:42	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-30 01:57	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-30 02:12	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-30 02:27	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
2026-07-30 02:42	10.4	13.0	0	0.0	28.2	9.1	20.6	0.0	36.1	0.0	14.4
